matchId,round,timestamp,attacker,action,damage,target,hp_left
M0001,1,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,4,Warrior2,96
M0001,1,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,6,Warrior1,94
M0001,2,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,8,Warrior2,88
M0001,2,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,3,Warrior1,91
M0001,3,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,4,Warrior2,84
M0001,3,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,6,Warrior1,85
M0001,4,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,4,Warrior2,80
M0001,4,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,6,Warrior1,79
M0001,5,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,4,Warrior2,76
M0001,5,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,6,Warrior1,73
M0001,6,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,8,Warrior2,68
M0001,6,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,3,Warrior1,70
M0001,7,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,8,Warrior2,60
M0001,7,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,6,Warrior1,64
M0001,8,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,4,Warrior2,56
M0001,8,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,3,Warrior1,61
M0001,9,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,4,Warrior2,52
M0001,9,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,3,Warrior1,58
M0001,10,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,4,Warrior2,48
M0001,10,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,3,Warrior1,55
M0001,11,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,8,Warrior2,40
M0001,11,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,3,Warrior1,52
M0001,12,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,8,Warrior2,32
M0001,12,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,6,Warrior1,46
M0001,13,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,4,Warrior2,28
M0001,13,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,3,Warrior1,43
M0001,14,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,8,Warrior2,20
M0001,14,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,6,Warrior1,37
M0001,15,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,8,Warrior2,12
M0001,15,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,3,Warrior1,34
M0001,16,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,8,Warrior2,4
M0001,16,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior2,attack,3,Warrior1,31
M0001,17,Fri Feb 27 14:58:57 GMT+04:00 2026,Warrior1,attack,4,Warrior2,0
M0001,1,Fri Feb 27 15:04:35 GMT+04:00 2026,Kenan,9,Revan,91,Kenan VS Revan
M0001,1,Fri Feb 27 15:04:35 GMT+04:00 2026,Revan,6,Kenan,94,Kenan VS Revan
M0001,2,Fri Feb 27 15:04:35 GMT+04:00 2026,Kenan,9,Revan,82,Kenan VS Revan
M0001,2,Fri Feb 27 15:04:35 GMT+04:00 2026,Revan,35,Kenan,59,Kenan VS Revan
M0001,3,Fri Feb 27 15:04:35 GMT+04:00 2026,Kenan,6,Revan,76,Kenan VS Revan
M0001,3,Fri Feb 27 15:04:35 GMT+04:00 2026,Revan,32,Kenan,27,Kenan VS Revan
M0001,4,Fri Feb 27 15:04:35 GMT+04:00 2026,Kenan,9,Revan,67,Kenan VS Revan
M0001,4,Fri Feb 27 15:04:35 GMT+04:00 2026,Revan,27,Kenan,0,Kenan VS Revan
M0002,1,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,7,Player2 Warrior,93,Player1 Warrior VS Player2 Warrior
M0002,1,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,11,Player1 Warrior,89,Player1 Warrior VS Player2 Warrior
M0002,2,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,7,Player2 Warrior,86,Player1 Warrior VS Player2 Warrior
M0002,2,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,7,Player1 Warrior,82,Player1 Warrior VS Player2 Warrior
M0002,3,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,7,Player2 Warrior,79,Player1 Warrior VS Player2 Warrior
M0002,3,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,11,Player1 Warrior,71,Player1 Warrior VS Player2 Warrior
M0002,4,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,7,Player2 Warrior,72,Player1 Warrior VS Player2 Warrior
M0002,4,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,6,Player1 Warrior,65,Player1 Warrior VS Player2 Warrior
M0002,5,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,5,Player2 Warrior,67,Player1 Warrior VS Player2 Warrior
M0002,5,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,11,Player1 Warrior,54,Player1 Warrior VS Player2 Warrior
M0002,6,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,5,Player2 Warrior,62,Player1 Warrior VS Player2 Warrior
M0002,6,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,5,Player1 Warrior,49,Player1 Warrior VS Player2 Warrior
M0002,7,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,7,Player2 Warrior,55,Player1 Warrior VS Player2 Warrior
M0002,7,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,11,Player1 Warrior,38,Player1 Warrior VS Player2 Warrior
M0002,8,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,5,Player2 Warrior,50,Player1 Warrior VS Player2 Warrior
M0002,8,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,11,Player1 Warrior,27,Player1 Warrior VS Player2 Warrior
M0002,9,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,3,Player2 Warrior,47,Player1 Warrior VS Player2 Warrior
M0002,9,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,6,Player1 Warrior,21,Player1 Warrior VS Player2 Warrior
M0002,10,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,5,Player2 Warrior,42,Player1 Warrior VS Player2 Warrior
M0002,10,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,11,Player1 Warrior,10,Player1 Warrior VS Player2 Warrior
M0002,11,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,7,Player2 Warrior,35,Player1 Warrior VS Player2 Warrior
M0002,11,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,5,Player1 Warrior,5,Player1 Warrior VS Player2 Warrior
M0002,12,Fri Feb 27 15:04:48 GMT+04:00 2026,Player1 Warrior,5,Player2 Warrior,30,Player1 Warrior VS Player2 Warrior
M0002,12,Fri Feb 27 15:04:48 GMT+04:00 2026,Player2 Warrior,5,Player1 Warrior,0,Player1 Warrior VS Player2 Warrior
M0003,1,Fri Feb 27 15:04:50 GMT+04:00 2026,Player1 Warrior,10,Player2 Warrior,90,Player1 Warrior VS Player2 Warrior
M0003,1,Fri Feb 27 15:04:50 GMT+04:00 2026,Player2 Warrior,5,Player1 Warrior,95,Player1 Warrior VS Player2 Warrior
M0003,2,Fri Feb 27 15:04:50 GMT+04:00 2026,Player1 Warrior,10,Player2 Warrior,80,Player1 Warrior VS Player2 Warrior
